203,64.51,48.44,2.2,1
204,66.71,15.64,2.2,1
213,22.61,30.54,2.2,1
216,66.71,39.24,2.2,1
217,58.91,40.54,2.2,1
218,56.21,26.24,2.2,1
219,42.11,47.79,2.2,1
222,58.91,18.44,2.2,1
230,49.21,15.64,2.2,1
231,64.26,34.24,2.2,1
235,68.51,32.29,2.2,1
237,39.31,12.94,2.2,1
238,59.01,47.79,2.2,1
239,58.91,32.84,2.2,1
256,66.91,45.04,2.2,1
301,49.21,1.54,2.2,1
303,51.41,47.24,2.2,1
305,60.21,45.74,2.2,1
309,52.31,1.44,2.2,1
317,50.41,9.44,2.2,1
318,66.71,21.04,2.2,1
319,60.11,14.34,2.2,1
320,59.51,7.74,2.2,1
322,52.31,7.74,2.2,1
323,53.71,12.64,2.2,1
